============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0          34248              1          12656  0000000000000000  0000000000000000
      1         105211          33622           1094  0000000000000001  0000000000000001
      2         190417          99512            459  06ff2d78e62a2132  f9e005da800f2685
      3           8551           1224            178  1a77e7c01128c0c1  e9663b8aaf54edcd
      4          76511          27393            652  2b4fc08802456e8b  e9ffb3f94f2264e0
      5          18035           5904            158  3cca91f5772d1024  4c2e3f2c8c15dad9
      6     1.0655e+07        6385245            264  4e232e4988bdd1d3  a6af40e8bea43f7a
      7           1299            302             23  70f26f616c2926a0  5bc0a39b1dab0d57
      8         194838          99552            391  7270a93088099ffe  ae8a327e0d822bbc
      9          87418          23357           1310  8140488cc931420a  a21001b907c1cbd8
     10              0              0            980  938c62b4ef226e86  f0d3224233dc01d9
     11          30770           9338            334  9b3d1252b9eb5f82  237af1a5701ad864
     12           8783           1615            169  db44648d1cd74507  baaa8226943b3d57
     13           4055           1149             69  f5c752cd52359c74  0fdb0b0e4ab6a1f7
     14          10673           3225            144  fd954cee1725c096  61ca7bf64a3ece6b
