============================================================
Thread 0
  BBLID       Time(ns)    Instruction  Memory Access          Hash(hi)          Hash(lo)
      0        11006.7              3           7663  0000000000000000  0000000000000000
      1          18714          17643            847  0000000000000001  0000000000000001
      2    9.79601e+08      512902124       25144796  00cd149a786f0aab  e0f8256cdabd41d8
      3          11858          13649            351  02b7cdad78333092  52b3245ee1a5e65d
      4        977.999           1428             11  1804b8d6265366b4  0afb04eae20ec7f1
      5           2249           1625             35  1f6192f89ea2f2f3  8b109651a2bc5397
      6        16190.7          33323            204  2317c109d66f141e  cc446c1a69ffb956
      7        1793.33           4019             41  240bb41aee18aede  2eb0c953ad611781
      8           3022           3407             61  28b203d8bf5c526d  9445efab81af16c5
      9        565.999             43              2  2dc8bf9cfdb6e5d0  8c9f4a39cae4445c
     10    2.85151e+08      442926425       14019560  36740401140d08e9  a206482a224c413f
     11        2896.66           3006             34  407c4b1c74a7b015  c29ea77d1302efc5
     12        721.333            197             63  4c6d888353cd4f1a  029eb3ae0eca5870
     13        4.33333             40             13  694d6a98abbbd0a8  09c22af95a59f7de
     14        2749.33           6076            170  6c0a66f034d4b8f8  23ddbe97b3fa5d9c
     15    2.21889e+06           3347           1039  716f72321636e615  83d95680ec5e9fd0
     16        376.666            323              8  74b443d410639770  a1077afe0e245142
     17           1105           1003             23  767a936fca45ed6f  fecaf0751f92b7a1
     18        2880.33           5728             26  89c0c06294b919fd  139366a6fa26b4c2
     19    5.88092e+06        9444577         379196  9509ecc5496d49e4  2916ed17087c196e
     20    3.65541e+06        7347649          65882  9586b18ab238fe68  758f057e3f26810a
     21    8.04304e+06        3957250         126924  998bc36ea72a76cf  04faf9c4b0080654
     22        1572.67           2583             24  9a5e158ef10e4fb4  fa64ef74bb1c1d98
     23        1819.66           1997             52  9aa7f9d20b7922a2  e1022008636c1ba0
     24         189474         929188         261568  a63cf45bb7179d20  efd5a90f00db476b
     25        3813.33           1882             87  b3de4fc1369a0dea  e85db7e2dde0bc43
     26         336493         922018           4231  cad9d1c2aea38d10  e2579c757db7114e
     27              0              0            291  ccf441349af0b0a2  291a2909beb6f587
     28         185021         930066         210220  e6b707080b6fbdfc  77d0b4152fb14501
     29         978083        1185388          98543  f9be6cd5b366ff05  15dc21507649ac63
